date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:07:20	26890/26890	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:14:15%20GMT	https://icgetei.in/	C:/My%20Web%20Sites/Amity%20University/icgetei.in/index.html	(from )
07:07:20	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202023%2001:37:21%20GMT	https://icgetei.in/robots.txt		(from )
07:07:20	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202023%2001:37:22%20GMT	https://icgetei.in/assets/css/main.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/assets/css/main.css	(from https://icgetei.in/)
07:07:20	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202023%2001:37:22%20GMT	https://icgetei.in/assets/css/noscript.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/assets/css/noscript.css	(from https://icgetei.in/)
07:07:21	36737/36737	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Jan%202023%2008:56:50%20GMT	https://icgetei.in/images/ICG%20LOGO.png	C:/My%20Web%20Sites/Amity%20University/icgetei.in/images/ICG%20LOGO.png	(from https://icgetei.in/)
07:07:21	103966/103966	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Jan%202023%2007:51:16%20GMT	https://icgetei.in/css/style.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/css/style.css	(from https://icgetei.in/)
07:07:21	4548/4548	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2011:05:34%20GMT	https://icgetei.in/plugins/superfish/css/superfish.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/plugins/superfish/css/superfish.css	(from https://icgetei.in/)
07:07:22	15900/15900	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2011:05:34%20GMT	https://icgetei.in/plugins/dl-menu/component.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/plugins/dl-menu/component.css	(from https://icgetei.in/)
07:07:22	22429/22429	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2011:05:34%20GMT	https://icgetei.in/plugins/font-awesome-new/css/font-awesome.min.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/plugins/font-awesome-new/css/font-awesome.min.css	(from https://icgetei.in/)
07:07:22	5637/5637	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2011:05:34%20GMT	https://icgetei.in/plugins/fancybox/jquery.fancybox.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/plugins/fancybox/jquery.fancybox.css	(from https://icgetei.in/)
07:07:22	3632/3632	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2011:05:34%20GMT	https://icgetei.in/plugins/flexslider/flexslider.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/plugins/flexslider/flexslider.css	(from https://icgetei.in/)
07:07:23	8163/8163	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2011:05:34%20GMT	https://icgetei.in/css/style-responsive.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/css/style-responsive.css	(from https://icgetei.in/)
07:07:23	39730/39730	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Jan%202023%2009:19:44%20GMT	https://icgetei.in/css/style-custom.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/css/style-custom.css	(from https://icgetei.in/)
07:07:23	81249/81249	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202019%2015:42:52%20GMT	https://icgetei.in/plugins/masterslider/public/assets/css/masterslider.main.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/plugins/masterslider/public/assets/css/masterslider.main.css	(from https://icgetei.in/)
07:07:24	18245/18245	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Jan%202023%2009:44:20%20GMT	https://icgetei.in/css/master-custom.css	C:/My%20Web%20Sites/Amity%20University/icgetei.in/css/master-custom.css	(from https://icgetei.in/)
07:07:24	26890/26890	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:14:15%20GMT	https://icgetei.in/index.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/index-2.html	(from https://icgetei.in/)
07:07:24	27516/27516	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2007:04:30%20GMT	https://icgetei.in/about-AUR.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/about-AUR.html	(from https://icgetei.in/)
07:07:25	25631/25631	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2009:07:55%20GMT	https://icgetei.in/TBA.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/TBA.html	(from https://icgetei.in/)
07:07:25	26016/26016	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2007:25:14%20GMT	https://icgetei.in/sponsors.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/sponsors.html	(from https://icgetei.in/)
07:07:25	25453/25453	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2007:19:55%20GMT	https://icgetei.in/picture_gallery.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/picture_gallery.html	(from https://icgetei.in/)
07:07:26	27659/27659	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2007:05:28%20GMT	https://icgetei.in/accomodation_visa.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/accomodation_visa.html	(from https://icgetei.in/)
07:07:26	26399/26399	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2007:19:10%20GMT	https://icgetei.in/major_attraction.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/major_attraction.html	(from https://icgetei.in/)
07:07:27	41641/41641	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Aug%202023%2007:27:08%20GMT	https://icgetei.in/organisers.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/organisers.html	(from https://icgetei.in/)
07:07:27	33915/33915	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Jul%202023%2009:15:09%20GMT	https://icgetei.in/speakers.html	C:/My%20Web%20Sites/Amity%20University/icgetei.in/speakers.html	(from https://icgetei.in/)
07:07:27	43/43	---M--	200	added ('OK')	image/gif	date:Tue,%2012%20Mar%202019%2014:42:56%20GMT	https://icgetei.in/plugins/masterslider/public/assets/css/blank.gif	C:/My%20Web%20Sites/Amity%20University/icgetei.in/plugins/masterslider/public/assets/css/blank.gif	(from https://icgetei.in/)
